critic_id	trial_id	domain	group	selection_stratum	run_success	snapshot_fraction	cutoff_s	verdict	confidence	imbalance_types	advisory_send	advisory_priority	advisory_message	acting_agents	unknown_load_agents	score_change	elapsed_s
trial_104_online_t000082645	trial_104	construction	2a_d0	successful_quiet_complementarity	True	0.25	82.645	imbalance_detected	0.82	duplicated_scope,role_action_mismatch	True	rebalance	Split by material immediately: have Andy place only granite/andesite/diorite/stone/stone bricks, and Bob place only gold, quartz, quartz pillars, and glowstone. Confirm distinct coordinates or layers before either continues.	andy,bob		0.0	28.631
trial_104_online_t000165290	trial_104	construction	2a_d0	successful_quiet_complementarity	True	0.5	165.29	no_imbalance_observed	0.82		False	none		andy,bob		82.14285714285714	26.306
trial_104_online_t000247935	trial_104	construction	2a_d0	successful_quiet_complementarity	True	0.75	247.935	imbalance_detected	0.86	blocked_dependency	True	unblock	Bob, retry the sole quartz placement at (-343,66,249) using your remaining block. Andy, stop broad harvesting and inspect/clear that cell or provide safe access; then have Bob place it and run checkBlueprint.			99.40476190476191	58.391
trial_106_online_t000073693	trial_106	construction	2a_d0	successful_balanced_parallel_anchor	True	0.25	73.693	imbalance_detected	0.88	blocked_dependency,role_action_mismatch	True	rebalance	Assign Bob to place the blueprint's gold_block, quartz_block, quartz_pillar, and glowstone coordinates now, while Andy continues the masonry list. Have them confirm coordinate coverage first to avoid overlap.	andy		0.0	25.153
trial_106_online_t000147386	trial_106	construction	2a_d0	successful_balanced_parallel_anchor	True	0.5	147.386	no_imbalance_observed	0.84		False	none		andy,bob		79.16666666666666	27.475
trial_106_online_t000221079	trial_106	construction	2a_d0	successful_balanced_parallel_anchor	True	0.75	221.079	imbalance_detected	0.9	duplicated_scope	True	rebalance	Pause Bob's stale broad fix pass and refresh from Andy's 218.622s blueprint check. Split the verified remainder by inventory: Bob handles quartz_block/quartz_pillar; Andy handles stone_bricks or another explicitly assigned non-overlapping fix.	bob	bob	88.09523809523809	48.115
trial_107_online_t000181095	trial_107	construction	2a_d0	near_complete_plateau_failure	False	0.25	181.095	imbalance_detected	0.82	duplicated_scope	True	rebalance	Partition the remaining build now: keep Andy on common-material fixes at Y64-Y66, and redirect Bob to Y67-Y68 plus any still-missing gold/quartz/pillar/glowstone blocks. Have Bob avoid Andy's coordinates until Andy checks completion.	andy,bob		44.047619047619044	43.267
trial_107_online_t000362191	trial_107	construction	2a_d0	near_complete_plateau_failure	False	0.5	362.191	imbalance_detected	0.84	duplicated_scope,role_action_mismatch	True	rebalance	Have Bob stop the broad gather/build loop, move clear of (-343,64,254), run checkBlueprint, and own only gold/quartz/quartz_pillar/glowstone fixes. Let Andy finish the andesite target; transfer it to Bob only after an explicit failed handoff.	andy,bob		80.35714285714286	55.514
trial_107_online_t000543286	trial_107	construction	2a_d0	near_complete_plateau_failure	False	0.75	543.286	imbalance_detected	0.96	duplicated_scope	True	rebalance	Have Andy stop attempting (-343,66,253) and move clear. Assign Bob sole ownership because he has the quartz_block; Bob should place it and run checkBlueprint. Andy should stand by for another fix only if verification finds one.	andy,bob	andy	99.40476190476191	36.253
trial_126_online_t000179991	trial_126	construction	2a_d11	low_progress_resource_plateau	False	0.25	179.991	imbalance_detected	0.9	workload_concentration,blocked_dependency,failed_handoff,role_action_mismatch	True	unblock	Assign Andy to place Level 0 polished granite/andesite/diorite, stone, and stone bricks from his existing inventory. Ask Bob to stop or report on the overrun gathering action, return to gold/quartz work, and then rerun the Level 0 check.	bob		5.952380952380952	35.961
trial_126_online_t000359981	trial_126	construction	2a_d11	low_progress_resource_plateau	False	0.5	359.981	imbalance_detected	0.93	workload_concentration,idle_while_peer_overloaded,role_action_mismatch	True	rebalance	Andy: start placing your polished granite/andesite/diorite, stone, and stone bricks at the listed Level 0 fixes now. Bob: finish only the current gather needed for shortages, then retain specialty-block placement and verification; coordinate missing counts with Andy.	bob		11.904761904761903	42.34
trial_126_online_t000539972	trial_126	construction	2a_d11	low_progress_resource_plateau	False	0.75	539.972	imbalance_detected	0.94	workload_concentration,duplicated_scope,failed_handoff,role_action_mismatch	True	rebalance	Andy: immediately place the required polished granite/andesite/diorite, stone, and stone bricks from your inventory. Bob: stop duplicate stone gathering, place gold/quartz/pillar/glowstone, then run level checks and send Andy the remaining coordinate list.			11.904761904761903	30.256
trial_132_online_t000092643	trial_132	construction	2a_d11	resource_gap_success	True	0.25	92.643	imbalance_detected	0.83	duplicated_scope	True	rebalance	Partition the build now: have Bob place gold, quartz, quartz pillars, and glowstone, and Andy place stone bricks and polished stone variants. Give them non-overlapping coordinates or levels, then run one shared blueprint check.	andy,bob	andy,bob	0.0	39.5
trial_132_online_t000185286	trial_132	construction	2a_d11	resource_gap_success	True	0.5	185.286	no_imbalance_observed	0.84		False	none		andy		29.761904761904763	23.325
trial_132_online_t000277928	trial_132	construction	2a_d11	resource_gap_success	True	0.75	277.928	imbalance_detected	0.86	duplicated_scope	True	rebalance	Partition the remaining work now: keep Bob on stocked gold/quartz/glowstone targets; assign Andy quartz pillars and stone-variant fixes only. Refresh checkBlueprint and divide exact coordinates before further placement or material gathering.	bob	andy	64.88095238095238	47.067
trial_149_online_t000173781	trial_149	construction	2a_d22	larger_resource_gap_success	True	0.25	173.781	imbalance_detected	0.86	duplicated_scope,role_action_mismatch	True	rebalance	Split by inventory: have Bob place the remaining gold, quartz, quartz-pillar, and glowstone blocks. Have Andy stop sourcing those and gather/craft the remaining stone variants. Run one fresh blueprint check before either touches shared coordinates.	andy,bob	andy,bob	58.92857142857143	37.597
trial_149_online_t000347563	trial_149	construction	2a_d22	larger_resource_gap_success	True	0.5	347.563	imbalance_detected	0.93	duplicated_scope	True	rebalance	Partition the remaining build now: have Bob own Y65-Y66 and Andy own Y67-Y68 plus the lone Y64 fix. Tell each to avoid the other's coordinates, then run one fresh blueprint check after both passes.	andy,bob		73.80952380952381	27.664
trial_149_online_t000521344	trial_149	construction	2a_d22	larger_resource_gap_success	True	0.75	521.344	imbalance_detected	0.97	duplicated_scope	True	rebalance	Bob, pause the polished-diorite search and switch to blueprint verification. Let Andy mine the specific spare he located and place it at -343,64,251; Bob should resume only if Andy reports failure.	andy,bob		98.80952380952381	28.008
trial_158_online_t000179966	trial_158	construction	2a_d22	high_communication_without_completion	False	0.25	179.966	no_imbalance_observed	0.88		False	none		bob		58.333333333333336	23.648
trial_158_online_t000359933	trial_158	construction	2a_d22	high_communication_without_completion	False	0.5	359.933	imbalance_detected	0.9	blocked_dependency	True	unblock	Andy: source/craft the stone variants from your latest check and place support cells bottom-up. Bob: while waiting, recheck the exact remaining specials and source only any shortages; retry placement after Andy confirms the supports.			73.80952380952381	37.286
trial_158_online_t000539899	trial_158	construction	2a_d22	high_communication_without_completion	False	0.75	539.899	imbalance_detected	0.86	blocked_dependency	True	unblock	Andy: immediately recheck and acquire/place the remaining level-2 stone-variant supports while Bob continues the six gold/quartz targets. Report any material or placement blocker promptly so Bob does not keep retrying unsupported cells.	bob		73.80952380952381	31.045
trial_162_online_t000126755	trial_162	construction	2a_d33	scarce_resource_success_anchor	True	0.25	126.755	no_imbalance_observed	0.82		False	none		andy,bob		44.047619047619044	22.489
trial_162_online_t000253511	trial_162	construction	2a_d33	scarce_resource_success_anchor	True	0.5	253.511	imbalance_detected	0.78	duplicated_scope,role_action_mismatch	True	rebalance	Specialize now: Bob should place only the remaining gold, quartz, quartz-pillar, and glowstone fixes; Andy should gather/place stone and polished variants. Claim coordinate ranges from the latest check before acting, then run one shared recheck.			47.61904761904761	57.957
trial_162_online_t000380267	trial_162	construction	2a_d33	scarce_resource_success_anchor	True	0.75	380.267	imbalance_detected	0.78	workload_concentration,duplicated_scope,failed_handoff	True	rebalance	Keep Andy as the sole block editor for this pass. Have Bob avoid overlapping placement, run checkBlueprint immediately after Andy finishes, and report exact residuals; then assign Bob only material-backed fixes that remain.	andy		47.023809523809526	66.036
trial_179_online_t000180018	trial_179	construction	2a_d33	very_low_progress_unknown_process	False	0.25	180.018	imbalance_detected	0.9	workload_concentration,failed_handoff,role_action_mismatch	True	rebalance	Andy: immediately place the level-0 stone, stone-brick, and polished-stone blocks from your inventory, or transfer them to Bob. Bob: stop gathering those materials and focus on gold, quartz, glowstone, and verification. Confirm this split directly.			3.571428571428571	33.151
trial_179_online_t000360036	trial_179	construction	2a_d33	very_low_progress_unknown_process	False	0.5	360.036	imbalance_detected	0.91	workload_concentration,failed_handoff,role_action_mismatch	True	rebalance	Confirm the split directly: Andy should immediately place the level-0 stone, stone-brick, and polished stone blocks from his inventory; Bob should stop gathering those materials and place only gold, quartz, pillars, and glowstone, then jointly recheck level 0.			3.571428571428571	24.733
trial_179_online_t000540054	trial_179	construction	2a_d33	very_low_progress_unknown_process	False	0.75	540.054	imbalance_detected	0.94	workload_concentration,failed_handoff,role_action_mismatch	True	rebalance	Reassign Andy now to place the level-0 stone, stone_bricks, polished_andesite, polished_diorite, and polished_granite from his inventory. Have Bob stop duplicating stone gathering, return to the site, and handle only gold/quartz/glowstone plus a joint blueprint check.			3.571428571428571	25.971
trial_181_online_t000179982	trial_181	construction	3a_d22	three_agent_balanced_failure	False	0.25	179.982	imbalance_detected	0.88	workload_concentration,blocked_dependency,role_action_mismatch	True	rebalance	Assign Andy to place or hand off his polished granite, andesite, and diorite for the remaining fixes. Tell Bob to skip gathering those materials and focus on gold/quartz fixes; keep Candy on stone and stone-brick work.	bob,candy		36.904761904761905	33.043
trial_181_online_t000359963	trial_181	construction	3a_d22	three_agent_balanced_failure	False	0.5	359.963	imbalance_detected	0.86	duplicated_scope,role_action_mismatch	True	rebalance	Partition by inventory now: Andy place only polished variants; Bob place gold/quartz/pillars. Ask Candy to report or hand off granite/cobble and, if free, own stone/stone-brick gaps. Designate one agent for the next blueprint check.	andy,bob	andy,candy	38.095238095238095	61.985
trial_181_online_t000539945	trial_181	construction	3a_d22	three_agent_balanced_failure	False	0.75	539.945	imbalance_detected	0.82	duplicated_scope	True	rebalance	Let Andy finish his active placement run. Have Bob pause duplicate placement and own the next blueprint check plus remaining gold/quartz coordinates. Ask Candy to craft or deliver stone/polished materials, then partition the remaining coordinates before further placement.	andy	candy	73.80952380952381	63.234
trial_186_online_t000105841	trial_186	construction	3a_d22	three_agent_success	True	0.25	105.841	imbalance_detected	0.82	workload_concentration,duplicated_scope,role_action_mismatch	True	rebalance	Repartition by inventory: assign Candy only stone_bricks, stone, and glowstone coordinates; reserve Bob for gold/quartz blocks and pillars; have Andy run checkBlueprint and handle remaining granite/andesite/diorite fixes. Share remaining coordinates before placement.	bob	bob	22.023809523809522	55.381
trial_186_online_t000211681	trial_186	construction	3a_d22	three_agent_success	True	0.5	211.681	no_imbalance_observed	0.84		False	none		andy		67.26190476190477	24.942
trial_186_online_t000317522	trial_186	construction	3a_d22	three_agent_success	True	0.75	317.522	imbalance_detected	0.88	blocked_dependency,failed_handoff,role_action_mismatch	True	unblock	Andy: use your stocked polished_diorite, stone_bricks, and other materials to place every item in Bob’s 314.5s remaining-fixes list. Bob: confirm coordinates and verify afterward. Candy: stop further scavenging once this handoff is confirmed.	candy		98.21428571428571	45.573
trial_190_online_t000180043	trial_190	construction	3a_d22	three_agent_communication_plateau	False	0.25	180.043	no_imbalance_observed	0.87		False	none		andy,bob,candy		58.92857142857143	25.396
trial_190_online_t000360087	trial_190	construction	3a_d22	three_agent_communication_plateau	False	0.5	360.087	imbalance_detected	0.81	duplicated_scope,blocked_dependency	True	rebalance	At the next safe pause, partition the remaining work: Candy runs one fresh check and publishes missing coordinates; Bob exclusively places gold/quartz; Andy handles stone/stone-brick crafting and placement. Give Candy only a disjoint polished-block set or verification role.	andy,bob,candy		63.095238095238095	40.114
trial_190_online_t000540130	trial_190	construction	3a_d22	three_agent_communication_plateau	False	0.75	540.13	imbalance_detected	0.86	duplicated_scope,blocked_dependency,role_action_mismatch	True	rebalance	Stop duplicate searches: have Bob place his 2 gold and 2 quartz at the remaining rare-block coordinates. Have Andy give cobblestone to Candy; Candy should smelt/craft common blocks, while Andy handles polished fixes and runs the next blueprint check.	andy,candy	bob	75.59523809523809	53.605
trial_202_online_t000033678	trial_202	crafting	h1_pickaxe_split	handoff_failure_then_repair	True	0.25	33.678	no_imbalance_observed	0.91		False	none					20.315
trial_202_online_t000067356	trial_202	crafting	h1_pickaxe_split	handoff_failure_then_repair	True	0.5	67.356	imbalance_detected	0.96	blocked_dependency,failed_handoff	True	unblock	Andy, verify your plank inventory and retry giving Bob 1 oak plank while Bob confirms receipt. If transfer fails again, Andy should craft the table from 4 planks and coordinate access so Bob can craft the pickaxe.				27.272
trial_202_online_t000101033	trial_202	crafting	h1_pickaxe_split	handoff_failure_then_repair	True	0.75	101.033	no_imbalance_observed	0.84		False	none					27.919
trial_208_online_t000149971	trial_208	crafting	h1_pickaxe_split	self_contained_terminal_mismatch	False	0.25	149.971	no_imbalance_observed	0.9		False	none					26.657
trial_208_online_t000299942	trial_208	crafting	h1_pickaxe_split	self_contained_terminal_mismatch	False	0.5	299.942	no_imbalance_observed	0.94		False	none					25.844
trial_208_online_t000449913	trial_208	crafting	h1_pickaxe_split	self_contained_terminal_mismatch	False	0.75	449.913	no_imbalance_observed	0.94		False	none					25.173
trial_212_online_t000150007	trial_212	crafting	h1_pickaxe_split	unanswered_request_and_resource_displacement	False	0.25	150.007	imbalance_detected	0.94	workload_concentration,blocked_dependency,failed_handoff	True	unblock	Reconnect/check Andy and have Andy transfer 3 of the 10 oak planks to Bob, or craft the pickaxe using Bob’s sticks. Once the handoff is confirmed, tell Bob to stop the difficult underground plank collection.	bob			34.861
trial_212_online_t000300015	trial_212	crafting	h1_pickaxe_split	unanswered_request_and_resource_displacement	False	0.5	300.015	imbalance_detected	0.97	workload_concentration,blocked_dependency,failed_handoff	True	unblock	Contact Andy and have him return to Bob and transfer at least 3 oak planks; if no crafting table is available, transfer 7 so Bob can craft one and the pickaxe. Tell Bob to stop searching and regroup for the handoff.				36.693
trial_212_online_t000450022	trial_212	crafting	h1_pickaxe_split	unanswered_request_and_resource_displacement	False	0.75	450.022	imbalance_detected	0.94	blocked_dependency,failed_handoff	True	unblock	Andy: rejoin or confirm availability, rendezvous with Bob, and transfer at least 7 oak planks so the team can make a crafting table and pickaxe head. Bob: stop broad wood searches once Andy confirms and coordinate the handoff using your sticks.	bob			29.774
trial_229_online_t000011838	trial_229	crafting	h2_shears_roles	verified_role_handoff	True	0.25	11.838	no_imbalance_observed	0.72		False	none			andy		37.282
trial_229_online_t000023675	trial_229	crafting	h2_shears_roles	verified_role_handoff	True	0.5	23.675	no_imbalance_observed	0.9		False	none					23.091
trial_229_online_t000035513	trial_229	crafting	h2_shears_roles	verified_role_handoff	True	0.75	35.513	no_imbalance_observed	0.87		False	none					23.776
trial_230_online_t000150019	trial_230	crafting	h2_shears_roles	unanswered_request_and_resource_displacement	False	0.25	150.019	imbalance_detected	0.96	workload_concentration,blocked_dependency,failed_handoff	True	unblock	Check whether Andy can reconnect. If available, have Andy immediately craft the shears or transfer both iron ingots to Bob; pause Bob's toolless iron search until that handoff is resolved.	bob			29.433
trial_230_online_t000300038	trial_230	crafting	h2_shears_roles	unanswered_request_and_resource_displacement	False	0.5	300.038	imbalance_detected	0.95	blocked_dependency,failed_handoff,role_action_mismatch	True	unblock	Check Andy's connection immediately. If available, have Andy craft shears from the 2 held ingots or transfer them to Bob. If Andy has left, reconnect or replace Andy; tell Bob to stop repeating tool-less pathfinding and hold at -10,53,58 for the handoff.		andy		37.799
trial_230_online_t000450058	trial_230	crafting	h2_shears_roles	unanswered_request_and_resource_displacement	False	0.75	450.058	imbalance_detected	0.96	blocked_dependency,failed_handoff	True	unblock	Check whether Andy can reconnect or resume. If available, have Andy immediately bring the existing 2 iron ingots to Bob at about -11,53,58 so Bob can craft shears with his table; otherwise reassign recovery of those ingots.				62.007
trial_243_online_t000036268	trial_243	crafting	h2_shears_roles	handoff_failure_then_repair	True	0.25	36.268	imbalance_detected	0.94	workload_concentration,blocked_dependency,failed_handoff	True	unblock	Andy, immediately tell Bob you have 2 iron ingots and rendezvous with him to use his crafting table and craft the shears. Bob, pause further mining and coordinate the table/iron handoff with Andy.				40.913
trial_243_online_t000072537	trial_243	crafting	h2_shears_roles	handoff_failure_then_repair	True	0.5	72.537	imbalance_detected	0.91	blocked_dependency,failed_handoff,role_action_mismatch	True	unblock	Bob, finish and report the current craft attempt. Andy, since you still hold both iron ingots, craft the shears directly if Bob's attempt fails; do not retry table placement. Confirm completion or explicitly redo the handoff.	bob			35.073
trial_243_online_t000108805	trial_243	crafting	h2_shears_roles	handoff_failure_then_repair	True	0.75	108.805	imbalance_detected	0.97	failed_handoff,blocked_dependency,role_action_mismatch	True	unblock	Andy, stop retrying the iron handoff and craft one pair of shears directly from your two ingots. Bob, pause further craft attempts and let Andy complete the recipe.				25.083
trial_255_online_t000149971	trial_255	crafting	e1_pickaxe_equal	parallel_overproduction_terminal_mismatch	False	0.25	149.971	no_imbalance_observed	0.94		False	none					24.951
trial_255_online_t000299942	trial_255	crafting	e1_pickaxe_equal	parallel_overproduction_terminal_mismatch	False	0.5	299.942	no_imbalance_observed	0.94		False	none					23.506
trial_255_online_t000449914	trial_255	crafting	e1_pickaxe_equal	parallel_overproduction_terminal_mismatch	False	0.75	449.914	no_imbalance_observed	0.94		False	none					21.818
trial_257_online_t000008371	trial_257	crafting	e1_pickaxe_equal	self_contained_success	True	0.25	8.371	no_imbalance_observed	0.78		False	none			andy,bob		25.365
trial_257_online_t000016743	trial_257	crafting	e1_pickaxe_equal	self_contained_success	True	0.5	16.743	no_imbalance_observed	0.88		False	none		bob			25.814
trial_257_online_t000025114	trial_257	crafting	e1_pickaxe_equal	self_contained_success	True	0.75	25.114	imbalance_detected	0.88	workload_concentration,failed_handoff	True	unblock	Andy, take over recovery: verify both inventories and, if no pickaxe exists, use your planks and sticks to craft a replacement. Bob, stop retrying the transfer and confirm or provide the crafting table.				63.925
trial_258_online_t000013518	trial_258	crafting	e1_pickaxe_equal	parallel_target_overproduction	True	0.25	13.518	no_imbalance_observed	0.84		False	none					22.976
trial_258_online_t000027036	trial_258	crafting	e1_pickaxe_equal	parallel_target_overproduction	True	0.5	27.036	imbalance_detected	0.88	duplicated_scope	True	rebalance	Bob, stop the second-pickaxe effort; Andy has already crafted the requested pickaxe. Andy, confirm the completed item so both agents can avoid further duplicate crafting.				45.905
trial_258_online_t000040554	trial_258	crafting	e1_pickaxe_equal	parallel_target_overproduction	True	0.75	40.554	imbalance_detected	0.94	blocked_dependency,failed_handoff	True	unblock	Andy, place the crafting table beside Bob or give it to him. Bob, use your 10 planks and 10 sticks to craft the wooden pickaxe, then verify inventory. Do not retry the pickaxe transfer unless Andy first confirms possessing one.				39.099
trial_279_online_t000087911	trial_279	crafting	e2_terracotta_equal	repair_and_role_reassignment	True	0.25	87.911	imbalance_detected	0.86	workload_concentration,blocked_dependency	True	unblock	Bob, preserve the 16 terracotta and 2 cyan dye while Andy investigates an alternate/manual crafting method or the recipe-tool mismatch. Avoid further identical craftRecipe retries until Andy reports a concrete workaround.				25.872
trial_279_online_t000175822	trial_279	crafting	e2_terracotta_equal	repair_and_role_reassignment	True	0.5	175.822	no_imbalance_observed	0.84		False	none		bob			22.931
trial_279_online_t000263733	trial_279	crafting	e2_terracotta_equal	repair_and_role_reassignment	True	0.75	263.733	no_imbalance_observed	0.9		False	none					27.107
trial_286_online_t000011234	trial_286	crafting	e2_terracotta_equal	verified_handoff	True	0.25	11.234	no_imbalance_observed	0.72		False	none			andy,bob		24.456
trial_286_online_t000022468	trial_286	crafting	e2_terracotta_equal	verified_handoff	True	0.5	22.468	imbalance_detected	0.82	blocked_dependency	True	unblock	Andy, verify the 8 terracotta already in your inventory before waiting for a transfer. Bob, confirm the request and either meet Andy to test a handoff or try crafting with your own 8 terracotta and cyan dye.				39.229
trial_286_online_t000033701	trial_286	crafting	e2_terracotta_equal	verified_handoff	True	0.75	33.701	no_imbalance_observed	0.9		False	none					21.352
trial_297_online_t000150010	trial_297	crafting	e2_terracotta_equal	high_communication_terminal_mismatch	False	0.25	150.01	no_imbalance_observed	0.96		False	none					18.478
trial_297_online_t000300019	trial_297	crafting	e2_terracotta_equal	high_communication_terminal_mismatch	False	0.5	300.019	no_imbalance_observed	0.88		False	none					19.084
trial_297_online_t000450029	trial_297	crafting	e2_terracotta_equal	high_communication_terminal_mismatch	False	0.75	450.029	no_imbalance_observed	0.94		False	none					23.996
